CAG,1,0.18
CAG,2, 0.31
CAG,3,0.43
CAG,4,0.39
CAG,5,0.42
CAG,6,0.48
road,1,6.48
road,2,14.23
road,3,22.54
road,4,21.2
road,5,21.15
road,6,23.9
