10,1,0.458407,0.000084
100,1,0.138407,0.000044
1000,1,0.246407,0.000346
10000,1,0.333207,0.002277
100000,1,0.261953,0.020330
1000000,1,0.039473,0.157829
10000000,1,0.000558,1.466119
10,2,0.058407,0.000192
100,2,0.178407,0.000085
1000,2,0.246407,0.000352
10000,2,0.333207,0.002391
100000,2,0.261833,0.023240
1000000,2,0.039469,0.167933
10000000,2,0.000558,1.550031
10,4,0.341593,0.000271
100,4,0.218407,0.000130
1000,4,0.246407,0.000328
10000,4,0.333207,0.002457
100000,4,0.261953,0.023586
1000000,4,0.039473,0.184987
10000000,4,0.000559,1.635082
