100,1,0.000016
1000,1,0.000010
10000,1,0.000011
100000,1,0.000015
1000000,1,0.000009
10000000,1,0.000009
100,2,0.000041
1000,2,0.000140
10000,2,0.000234
100000,2,0.000267
1000000,2,0.003946
10000000,2,0.035112
100,3,0.000061
1000,3,0.000117
10000,3,0.000219
100000,3,0.001239
1000000,3,0.006924
10000000,3,0.083713
100,4,0.000080
1000,4,0.000184
10000,4,0.000421
100000,4,0.000868
1000000,4,0.009603
10000000,4,0.102889
100,5,0.000118
1000,5,0.001182
10000,5,0.000227
100000,5,0.004289
1000000,5,0.015749
10000000,5,0.117504
100,6,0.000166
1000,6,0.000119
10000,6,0.003566
100000,6,0.001444
1000000,6,0.015177
10000000,6,0.102597
