100,1,0.000004
1000,1,0.000016
10000,1,0.000364
100000,1,0.001709
1000000,1,0.011495
10000000,1,0.118555
100,2,0.000023
1000,2,0.000028
10000,2,0.000280
100000,2,0.001467
1000000,2,0.017355
10000000,2,0.146217
100,3,0.000036
1000,3,0.000067
10000,3,0.004345
100000,3,0.008338
1000000,3,0.021419
10000000,3,0.207784
100,4,0.010242
1000,4,0.000227
10000,4,0.000864
100000,4,0.002780
1000000,4,0.025175
10000000,4,0.215927
100,5,0.024884
1000,5,0.000288
10000,5,0.000662
100000,5,0.020489
1000000,5,0.031898
10000000,5,0.256533
100,6,0.000161
1000,6,0.000171
10000,6,0.000387
100000,6,0.010694
1000000,6,0.071637
10000000,6,0.275284
